date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:12	106700/106700	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd94-1a0cc%22	http://tk-themes.net/html-umbra/images/gallery/gallery_5.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/gallery/gallery_5.jpg	(from http://tk-themes.net/html-umbra/)
15:22:12	3377/3377	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd4f-d31%22	http://tk-themes.net/html-umbra/images/avatar/avatar_3.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/avatar/avatar_3.jpg	(from http://tk-themes.net/html-umbra/)
15:22:14	6513/6513	---M--	200	added ('OK')	image/png	etag:%2257cccd3b-1971%22	http://tk-themes.net/html-umbra/images/payment_logo.png	D:/shoppingC/tk-themes.net/html-umbra/images/payment_logo.png	(from http://tk-themes.net/html-umbra/)
15:22:15	7199/7199	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf69-1c1f%22	http://tk-themes.net/html-umbra/js/jquery-migrate.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/jquery-migrate.min.js	(from http://tk-themes.net/html-umbra/)
15:22:18	36822/36822	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf67-8fd6%22	http://tk-themes.net/html-umbra/js/bootstrap.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/bootstrap.min.js	(from http://tk-themes.net/html-umbra/)
15:22:18	97362/97362	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf6b-17c52%22	http://tk-themes.net/html-umbra/js/jquery.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/jquery.min.js	(from http://tk-themes.net/html-umbra/)
15:22:20	46402/46402	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf6c-b542%22	http://tk-themes.net/html-umbra/js/jquery.themepunch.revolution.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/jquery.themepunch.revolution.min.js	(from http://tk-themes.net/html-umbra/)
15:22:22	450573/450573	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd80-6e00d%22	http://tk-themes.net/html-umbra/images/blog/blog_2.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/blog/blog_2.jpg	(from http://tk-themes.net/html-umbra/)
15:22:22	8447/8447	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf6d-20ff%22	http://tk-themes.net/html-umbra/js/modernizr-2.7.1.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/modernizr-2.7.1.min.js	(from http://tk-themes.net/html-umbra/)
15:22:23	309/309	---M--	200	added ('OK')	application/javascript	etag:%2257ccdf6b-135%22	http://tk-themes.net/html-umbra/js/jquery.prettyPhoto.init.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/jquery.prettyPhoto.init.min.js	(from http://tk-themes.net/html-umbra/)
15:22:23	104765/104765	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf6d-1993d%22	http://tk-themes.net/html-umbra/js/jquery.themepunch.tools.min.js	D:/shoppingC/tk-themes.net/html-umbra/js/jquery.themepunch.tools.min.js	(from http://tk-themes.net/html-umbra/)
15:22:24	36207/36207	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257ccdf6c-8d6f%22	http://tk-themes.net/html-umbra/js/jquery.prettyPhoto.js	D:/shoppingC/tk-themes.net/html-umbra/js/jquery.prettyPhoto.js	(from http://tk-themes.net/html-umbra/)
